timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.034,0.0255,0.0340,0.2752,0.2888,0.0056,0.0708,0.0009,0.0181,0.0390,0.0047,0.0017,0.0138,0.0255,0.0212,0.0009,0.0008,0.0056,0.2259,0.0195,0.0260,0.0306,0.0265,0.1282,0.1034,0.0601,0.0314,0.0158,0.0622,0.0027,0.0391,0.2888,0.2824,0.0008,0.0005,0.0035,0.2824,0.2888,0.0317,0.0027,0.0214,0.0501,0.0345,0.0007,0.0623,0.0138,0.2752,0.4686,0.4686,0.0488,0.1190,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.067,0.0255,0.0340,0.2752,0.2888,0.0056,0.0708,0.0009,0.0181,0.0390,0.0047,0.0017,0.0138,0.0255,0.0212,0.0009,0.0008,0.0056,0.2259,0.0195,0.0260,0.0306,0.0265,0.1282,0.1034,0.0601,0.0314,0.0158,0.0622,0.0027,0.0391,0.2888,0.2824,0.0008,0.0005,0.0035,0.2824,0.2888,0.0317,0.0027,0.0214,0.0501,0.0345,0.0007,0.0623,0.0138,0.2752,0.4686,0.4686,0.0488,0.1190,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.102,0.0257,0.0330,0.2735,0.2890,0.0054,0.0708,0.0009,0.0181,0.0391,0.0046,0.0017,0.0136,0.0257,0.0198,0.0009,0.0008,0.0054,0.2221,0.0194,0.0259,0.0304,0.0264,0.1272,0.1036,0.0601,0.0314,0.0158,0.0621,0.0026,0.0397,0.2890,0.2830,0.0008,0.0005,0.0034,0.2830,0.2890,0.0324,0.0026,0.0214,0.0500,0.0346,0.0007,0.0623,0.0136,0.2735,0.4688,0.4688,0.0487,0.1192,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.145,0.0258,0.0315,0.2721,0.2855,0.0057,0.0708,0.0009,0.0181,0.0388,0.0047,0.0017,0.0136,0.0258,0.0186,0.0009,0.0008,0.0057,0.2230,0.0200,0.0258,0.0321,0.0263,0.1351,0.1056,0.0601,0.0316,0.0155,0.0616,0.0026,0.0393,0.2855,0.2809,0.0008,0.0005,0.0034,0.2809,0.2855,0.0323,0.0025,0.0212,0.0495,0.0346,0.0007,0.0624,0.0136,0.2721,0.4639,0.4639,0.0485,0.1213,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.190,0.0259,0.0315,0.2717,0.2834,0.0056,0.0708,0.0009,0.0180,0.0388,0.0046,0.0017,0.0136,0.0259,0.0183,0.0009,0.0008,0.0056,0.2231,0.0202,0.0257,0.0328,0.0263,0.1356,0.1054,0.0600,0.0317,0.0151,0.0624,0.0025,0.0390,0.2834,0.2807,0.0008,0.0005,0.0033,0.2807,0.2834,0.0322,0.0025,0.0212,0.0501,0.0347,0.0007,0.0626,0.0136,0.2717,0.4550,0.4550,0.0484,0.1211,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.223,0.0259,0.0314,0.2697,0.2846,0.0056,0.0708,0.0009,0.0180,0.0388,0.0044,0.0017,0.0136,0.0259,0.0181,0.0009,0.0008,0.0056,0.2230,0.0200,0.0257,0.0333,0.0262,0.1356,0.1042,0.0599,0.0317,0.0148,0.0631,0.0024,0.0387,0.2846,0.2809,0.0008,0.0005,0.0033,0.2809,0.2846,0.0322,0.0024,0.0212,0.0507,0.0348,0.0007,0.0628,0.0136,0.2697,0.4579,0.4579,0.0483,0.1200,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.267,0.0260,0.0274,0.2682,0.2843,0.0057,0.0708,0.0009,0.0180,0.0388,0.0044,0.0017,0.0136,0.0260,0.0162,0.0008,0.0008,0.0057,0.2238,0.0217,0.0256,0.0336,0.0261,0.1358,0.1042,0.0599,0.0318,0.0146,0.0638,0.0024,0.0378,0.2843,0.2802,0.0008,0.0005,0.0032,0.2802,0.2843,0.0316,0.0024,0.0212,0.0513,0.0348,0.0007,0.0630,0.0136,0.2682,0.4579,0.4579,0.0481,0.1200,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.312,0.0260,0.0275,0.2683,0.2822,0.0057,0.0707,0.0009,0.0180,0.0388,0.0043,0.0017,0.0134,0.0260,0.0163,0.0008,0.0008,0.0057,0.2263,0.0217,0.0255,0.0336,0.0260,0.1354,0.1027,0.0598,0.0318,0.0147,0.0641,0.0023,0.0377,0.2822,0.2802,0.0008,0.0005,0.0032,0.2802,0.2822,0.0316,0.0023,0.0212,0.0516,0.0349,0.0007,0.0631,0.0134,0.2683,0.4555,0.4555,0.0480,0.1188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.346,0.0255,0.0275,0.2684,0.2765,0.0055,0.0707,0.0009,0.0180,0.0387,0.0042,0.0016,0.0133,0.0255,0.0163,0.0008,0.0008,0.0055,0.2263,0.0205,0.0254,0.0377,0.0259,0.1374,0.1012,0.0598,0.0318,0.0145,0.0641,0.0023,0.0376,0.2765,0.2811,0.0008,0.0005,0.0031,0.2811,0.2765,0.0315,0.0023,0.0210,0.0516,0.0349,0.0007,0.0632,0.0133,0.2684,0.4382,0.4382,0.0479,0.1175,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.391,0.0255,0.0261,0.2683,0.2720,0.0054,0.0707,0.0009,0.0179,0.0386,0.0041,0.0016,0.0133,0.0255,0.0150,0.0008,0.0008,0.0054,0.2267,0.0205,0.0253,0.0377,0.0258,0.1372,0.0992,0.0597,0.0319,0.0142,0.0648,0.0022,0.0375,0.2720,0.2761,0.0008,0.0005,0.0031,0.2761,0.2720,0.0314,0.0022,0.0209,0.0523,0.0350,0.0007,0.0632,0.0133,0.2683,0.4319,0.4319,0.0477,0.1158,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
