timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.033,0.0056,0.0703,0.0845,0.9781,0.0065,0.1318,0.0070,0.7746,0.3395,0.0775,0.0144,0.0219,0.0056,0.0936,0.0008,0.0092,0.0065,0.0019,0.0022,0.0730,0.0020,0.0539,0.0018,0.0015,0.0200,0.0015,0.0031,0.6882,0.0025,0.1276,0.9781,0.3394,0.0066,0.0166,0.0479,0.3394,0.9781,0.1261,0.0026,0.3360,0.6780,0.0054,0.0130,0.0036,0.0219,0.0845,0.1911,0.1911,0.0170,0.0012,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.067,0.0053,0.0694,0.0845,0.9791,0.0059,0.1319,0.0069,0.7747,0.3392,0.0775,0.0146,0.0219,0.0053,0.0930,0.0008,0.0091,0.0059,0.0018,0.0021,0.0730,0.0020,0.0539,0.0018,0.0015,0.0200,0.0015,0.0030,0.6881,0.0025,0.1276,0.9791,0.3397,0.0065,0.0162,0.0478,0.3397,0.9791,0.1252,0.0025,0.3355,0.6779,0.0056,0.0129,0.0036,0.0219,0.0845,0.1911,0.1911,0.0170,0.0012,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.100,0.0053,0.0694,0.0845,0.9791,0.0059,0.1319,0.0069,0.7747,0.3392,0.0775,0.0146,0.0219,0.0053,0.0930,0.0008,0.0091,0.0059,0.0018,0.0021,0.0730,0.0020,0.0539,0.0018,0.0015,0.0200,0.0015,0.0030,0.6881,0.0025,0.1276,0.9791,0.3397,0.0065,0.0162,0.0478,0.3397,0.9791,0.1252,0.0025,0.3355,0.6779,0.0056,0.0129,0.0036,0.0219,0.0845,0.1911,0.1911,0.0170,0.0012,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.134,0.0051,0.0676,0.0846,0.9789,0.0055,0.1320,0.0066,0.7747,0.3395,0.0785,0.0151,0.0219,0.0051,0.0913,0.0008,0.0091,0.0055,0.0018,0.0021,0.0730,0.0020,0.0539,0.0018,0.0015,0.0200,0.0015,0.0029,0.6845,0.0024,0.1274,0.9789,0.3402,0.0065,0.0160,0.0477,0.3402,0.9789,0.1247,0.0025,0.3358,0.6745,0.0053,0.0128,0.0035,0.0219,0.0846,0.1915,0.1915,0.0170,0.0012,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.168,0.0049,0.0659,0.0845,0.9797,0.0052,0.1322,0.0064,0.7747,0.3400,0.0787,0.0155,0.0224,0.0049,0.0899,0.0008,0.0091,0.0052,0.0018,0.0021,0.0730,0.0020,0.0539,0.0018,0.0015,0.0200,0.0015,0.0028,0.6837,0.0023,0.1275,0.9797,0.3402,0.0065,0.0156,0.0477,0.3402,0.9797,0.1235,0.0024,0.3361,0.6739,0.0054,0.0127,0.0034,0.0224,0.0845,0.1927,0.1927,0.0170,0.0012,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.212,0.0047,0.0658,0.0845,0.9794,0.0050,0.1322,0.0064,0.7750,0.3381,0.0788,0.0156,0.0223,0.0047,0.0899,0.0008,0.0091,0.0050,0.0018,0.0021,0.0730,0.0020,0.0539,0.0017,0.0014,0.0200,0.0015,0.0027,0.6844,0.0023,0.1272,0.9794,0.3397,0.0064,0.0155,0.0482,0.3397,0.9794,0.1229,0.0024,0.3339,0.6746,0.0052,0.0127,0.0034,0.0223,0.0845,0.1927,0.1927,0.0170,0.0012,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.245,0.0045,0.0653,0.0852,0.9792,0.0049,0.1321,0.0065,0.7758,0.3372,0.0794,0.0154,0.0217,0.0045,0.0887,0.0008,0.0091,0.0049,0.0018,0.0021,0.0730,0.0019,0.0539,0.0017,0.0014,0.0200,0.0015,0.0027,0.6867,0.0023,0.1202,0.9792,0.3402,0.0063,0.0160,0.0481,0.3402,0.9792,0.1237,0.0023,0.3335,0.6758,0.0053,0.0135,0.0033,0.0217,0.0852,0.1925,0.1925,0.0170,0.0012,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.292,0.0043,0.0637,0.0852,0.9790,0.0048,0.1321,0.0063,0.7762,0.3348,0.0794,0.0152,0.0217,0.0043,0.0866,0.0008,0.0091,0.0048,0.0017,0.0021,0.0730,0.0019,0.0539,0.0017,0.0014,0.0200,0.0015,0.0026,0.6862,0.0022,0.1183,0.9790,0.3407,0.0063,0.0157,0.0480,0.3407,0.9790,0.1232,0.0023,0.3313,0.6751,0.0055,0.0133,0.0032,0.0217,0.0852,0.1928,0.1928,0.0170,0.0012,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.334,0.0041,0.0632,0.0850,0.9788,0.0048,0.1320,0.0061,0.7763,0.3348,0.0799,0.0151,0.0217,0.0041,0.0861,0.0008,0.0090,0.0048,0.0017,0.0020,0.0730,0.0019,0.0539,0.0017,0.0014,0.0200,0.0014,0.0026,0.6855,0.0022,0.1180,0.9788,0.3401,0.0062,0.0156,0.0479,0.3401,0.9788,0.1238,0.0022,0.3313,0.6743,0.0056,0.0132,0.0032,0.0217,0.0850,0.1930,0.1930,0.0170,0.0012,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.369,0.0040,0.0654,0.0850,0.9796,0.0047,0.1321,0.0096,0.7765,0.3408,0.0796,0.0152,0.0218,0.0040,0.0888,0.0007,0.0090,0.0047,0.0017,0.0020,0.0730,0.0019,0.0539,0.0017,0.0014,0.0200,0.0014,0.0025,0.6866,0.0021,0.1185,0.9796,0.3409,0.0062,0.0156,0.0473,0.3409,0.9796,0.1240,0.0022,0.3378,0.6753,0.0057,0.0132,0.0032,0.0218,0.0850,0.1930,0.1930,0.0170,0.0012,0.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
