timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.034,0.0055,0.1804,0.0406,0.2447,0.0534,0.1450,0.0011,0.1811,0.3792,0.2282,0.1262,0.0868,0.0055,0.1955,0.0111,0.0090,0.0534,0.0758,0.0013,0.0408,0.0016,0.0357,0.0010,0.0016,0.0135,0.0004,0.0246,0.1146,0.0216,0.1181,0.2447,0.1743,0.0082,0.0157,0.6014,0.1743,0.2447,0.0959,0.0217,0.3720,0.1179,0.0303,0.0105,0.0252,0.0868,0.0406,0.1820,0.1820,0.0244,0.0015,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.068,0.0055,0.1794,0.0367,0.2191,0.0421,0.1443,0.0011,0.1801,0.3812,0.2281,0.1261,0.0952,0.0055,0.1949,0.0111,0.0090,0.0421,0.0805,0.0013,0.0408,0.0016,0.0357,0.0010,0.0016,0.0135,0.0004,0.0247,0.1102,0.0178,0.1171,0.2191,0.1722,0.0082,0.0156,0.6010,0.1722,0.2191,0.0944,0.0178,0.3736,0.1139,0.0303,0.0105,0.0257,0.0952,0.0367,0.1658,0.1658,0.0244,0.0015,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.101,0.0055,0.1794,0.0340,0.1911,0.0443,0.1443,0.0010,0.1795,0.3727,0.2282,0.1262,0.1006,0.0055,0.1949,0.0111,0.0090,0.0443,0.0819,0.0013,0.0408,0.0016,0.0357,0.0010,0.0016,0.0135,0.0004,0.0248,0.1050,0.0151,0.1159,0.1911,0.1717,0.0082,0.0156,0.6030,0.1717,0.1911,0.0929,0.0152,0.3649,0.1087,0.0302,0.0105,0.0268,0.1006,0.0340,0.1510,0.1510,0.0244,0.0015,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.146,0.0056,0.1818,0.0320,0.1721,0.0387,0.1438,0.0010,0.1793,0.3730,0.2284,0.1254,0.1057,0.0056,0.1976,0.0111,0.0090,0.0387,0.0838,0.0013,0.0408,0.0016,0.0357,0.0010,0.0015,0.0135,0.0004,0.0249,0.1052,0.0132,0.1149,0.1721,0.1702,0.0082,0.0155,0.6031,0.1702,0.1721,0.0921,0.0133,0.3652,0.1088,0.0302,0.0104,0.0268,0.1057,0.0320,0.1367,0.1367,0.0245,0.0015,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.179,0.0056,0.1832,0.0305,0.1600,0.0349,0.1437,0.0010,0.1792,0.3706,0.2291,0.1255,0.1077,0.0056,0.1994,0.0112,0.0090,0.0349,0.0838,0.0013,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0250,0.1047,0.0117,0.1136,0.1600,0.1699,0.0082,0.0155,0.6054,0.1699,0.1600,0.0903,0.0118,0.3630,0.1083,0.0301,0.0104,0.0268,0.1077,0.0305,0.1367,0.1367,0.0245,0.0014,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.214,0.0056,0.1832,0.0305,0.1600,0.0349,0.1437,0.0010,0.1792,0.3706,0.2291,0.1255,0.1077,0.0056,0.1994,0.0112,0.0090,0.0349,0.0838,0.0013,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0250,0.1047,0.0117,0.1136,0.1600,0.1699,0.0082,0.0155,0.6054,0.1699,0.1600,0.0903,0.0118,0.3630,0.1083,0.0301,0.0104,0.0268,0.1077,0.0305,0.1367,0.1367,0.0245,0.0014,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.259,0.0059,0.1847,0.0273,0.1412,0.0249,0.1439,0.0010,0.1792,0.3688,0.2288,0.1255,0.1077,0.0059,0.2006,0.0111,0.0090,0.0249,0.0800,0.0012,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0247,0.1066,0.0096,0.1123,0.1412,0.1414,0.0082,0.0155,0.6186,0.1414,0.1412,0.0891,0.0096,0.3610,0.1101,0.0301,0.0104,0.0272,0.1077,0.0273,0.0837,0.0837,0.0245,0.0014,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.302,0.0060,0.1854,0.0258,0.1298,0.0201,0.1442,0.0010,0.1792,0.3689,0.2318,0.1254,0.1076,0.0060,0.2014,0.0111,0.0090,0.0201,0.0793,0.0012,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0248,0.1075,0.0088,0.1123,0.1298,0.1364,0.0082,0.0155,0.6252,0.1364,0.1298,0.0891,0.0088,0.3611,0.1109,0.0300,0.0103,0.0274,0.1076,0.0258,0.0715,0.0715,0.0245,0.0014,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.346,0.0061,0.1843,0.0246,0.1460,0.0149,0.1442,0.0010,0.1792,0.3751,0.2338,0.1245,0.1055,0.0061,0.1997,0.0111,0.0091,0.0149,0.0779,0.0012,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0249,0.1123,0.0081,0.1126,0.1460,0.1315,0.0083,0.0153,0.6103,0.1315,0.1460,0.0896,0.0081,0.3672,0.1154,0.0300,0.0102,0.0270,0.1055,0.0246,0.0632,0.0632,0.0245,0.0014,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.380,0.0062,0.1840,0.0236,0.1814,0.0114,0.1442,0.0010,0.1792,0.3754,0.2339,0.1224,0.1039,0.0062,0.1990,0.0111,0.0091,0.0114,0.0736,0.0012,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0250,0.1214,0.0076,0.1113,0.1814,0.1283,0.0083,0.0150,0.5985,0.1283,0.1814,0.0891,0.0076,0.3676,0.1240,0.0299,0.0100,0.0264,0.1039,0.0236,0.0565,0.0565,0.0245,0.0014,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.414,0.0062,0.1840,0.0236,0.1814,0.0114,0.1442,0.0010,0.1792,0.3754,0.2339,0.1224,0.1039,0.0062,0.1990,0.0111,0.0091,0.0114,0.0736,0.0012,0.0408,0.0015,0.0356,0.0010,0.0015,0.0135,0.0004,0.0250,0.1214,0.0076,0.1113,0.1814,0.1283,0.0083,0.0150,0.5985,0.1283,0.1814,0.0891,0.0076,0.3676,0.1240,0.0299,0.0100,0.0264,0.1039,0.0236,0.0565,0.0565,0.0245,0.0014,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
