timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.034,0.0573,0.5419,0.1387,0.3748,0.0059,0.1181,0.6855,0.0242,0.2190,0.0385,0.0733,0.0311,0.0573,0.5010,0.0011,0.0009,0.0059,0.0022,0.0325,0.4724,0.0615,0.4474,0.0375,0.0160,0.0128,0.0022,0.0351,0.0326,0.0068,0.0024,0.3748,0.1036,0.0020,0.0020,0.0025,0.1036,0.3748,0.0060,0.0068,0.2219,0.0405,0.0344,0.0016,0.0058,0.0311,0.1387,0.1824,0.1824,0.0197,0.0129,0.6789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.080,0.0571,0.5424,0.1396,0.4001,0.0041,0.1180,0.6896,0.0241,0.2186,0.0356,0.0732,0.0305,0.0571,0.5013,0.0011,0.0009,0.0041,0.0022,0.0324,0.4725,0.0615,0.4481,0.0373,0.0161,0.0128,0.0022,0.0351,0.0325,0.0064,0.0023,0.4001,0.1050,0.0020,0.0020,0.0024,0.1050,0.4001,0.0058,0.0064,0.2213,0.0404,0.0340,0.0015,0.0056,0.0305,0.1396,0.0833,0.0833,0.0196,0.0129,0.6828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.123,0.0569,0.5433,0.1441,0.4206,0.0029,0.1176,0.6953,0.0240,0.2186,0.0348,0.0732,0.0301,0.0569,0.5016,0.0011,0.0009,0.0029,0.0021,0.0324,0.4725,0.0615,0.4486,0.0372,0.0161,0.0128,0.0022,0.0352,0.0326,0.0060,0.0023,0.4206,0.1072,0.0020,0.0019,0.0024,0.1072,0.4206,0.0057,0.0060,0.2213,0.0405,0.0320,0.0015,0.0054,0.0301,0.1441,0.0616,0.0616,0.0196,0.0129,0.6885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.156,0.0568,0.5433,0.1492,0.4380,0.0020,0.1174,0.6976,0.0240,0.2176,0.0329,0.0728,0.0297,0.0568,0.5017,0.0011,0.0009,0.0020,0.0021,0.0323,0.4737,0.0636,0.4529,0.0376,0.0170,0.0128,0.0021,0.0352,0.0322,0.0057,0.0023,0.4380,0.1101,0.0020,0.0019,0.0024,0.1101,0.4380,0.0055,0.0057,0.2199,0.0401,0.0305,0.0015,0.0052,0.0297,0.1492,0.0668,0.0668,0.0196,0.0137,0.6907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.191,0.0566,0.5432,0.1614,0.4504,0.0014,0.1170,0.7091,0.0239,0.2176,0.0302,0.0719,0.0293,0.0566,0.5015,0.0011,0.0009,0.0014,0.0021,0.0323,0.4740,0.0635,0.4547,0.0374,0.0169,0.0128,0.0021,0.0352,0.0325,0.0054,0.0022,0.4504,0.1151,0.0019,0.0019,0.0024,0.1151,0.4504,0.0053,0.0054,0.2199,0.0404,0.0293,0.0015,0.0051,0.0293,0.1614,0.0945,0.0945,0.0195,0.0136,0.7019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.234,0.0565,0.5429,0.1639,0.4612,0.0010,0.1168,0.7089,0.0239,0.2128,0.0297,0.0718,0.0290,0.0565,0.5008,0.0011,0.0008,0.0010,0.0021,0.0322,0.4740,0.0638,0.4547,0.0374,0.0169,0.0128,0.0021,0.0353,0.0325,0.0052,0.0022,0.4612,0.1161,0.0019,0.0019,0.0023,0.1161,0.4612,0.0051,0.0052,0.2147,0.0404,0.0283,0.0015,0.0049,0.0290,0.1639,0.0726,0.0726,0.0195,0.0135,0.7018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.267,0.0565,0.5429,0.1639,0.4612,0.0010,0.1168,0.7089,0.0239,0.2128,0.0297,0.0718,0.0290,0.0565,0.5008,0.0011,0.0008,0.0010,0.0021,0.0322,0.4740,0.0638,0.4547,0.0374,0.0169,0.0128,0.0021,0.0353,0.0325,0.0052,0.0022,0.4612,0.1161,0.0019,0.0019,0.0023,0.1161,0.4612,0.0051,0.0052,0.2147,0.0404,0.0283,0.0015,0.0049,0.0290,0.1639,0.0726,0.0726,0.0195,0.0135,0.7018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.302,0.0564,0.5429,0.1670,0.4707,0.0007,0.1166,0.7089,0.0238,0.2119,0.0289,0.0701,0.0287,0.0564,0.5007,0.0010,0.0008,0.0007,0.0020,0.0322,0.4741,0.0659,0.4555,0.0378,0.0171,0.0128,0.0021,0.0353,0.0325,0.0049,0.0022,0.4707,0.1163,0.0019,0.0019,0.0023,0.1163,0.4707,0.0051,0.0049,0.2138,0.0404,0.0275,0.0015,0.0048,0.0287,0.1670,0.1106,0.1106,0.0195,0.0137,0.7018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.336,0.0558,0.5429,0.1692,0.4768,0.0005,0.1163,0.7090,0.0238,0.2107,0.0282,0.0697,0.0287,0.0558,0.5007,0.0010,0.0008,0.0005,0.0020,0.0321,0.4742,0.0659,0.4563,0.0375,0.0171,0.0128,0.0020,0.0353,0.0325,0.0047,0.0021,0.4768,0.1163,0.0019,0.0019,0.0023,0.1163,0.4768,0.0051,0.0047,0.2124,0.0404,0.0268,0.0015,0.0047,0.0287,0.1692,0.1533,0.1533,0.0195,0.0137,0.7021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.381,0.0557,0.5428,0.1708,0.4833,0.0003,0.1161,0.7104,0.0237,0.2097,0.0276,0.0687,0.0285,0.0557,0.5004,0.0010,0.0008,0.0003,0.0020,0.0321,0.4743,0.0661,0.4568,0.0375,0.0171,0.0128,0.0020,0.0354,0.0327,0.0045,0.0021,0.4833,0.1165,0.0019,0.0018,0.0023,0.1165,0.4833,0.0049,0.0045,0.2114,0.0405,0.0263,0.0015,0.0046,0.0285,0.1708,0.1527,0.1527,0.0194,0.0137,0.7035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
