timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.043,0.0000,0.3079,0.0000,0.0141,0.0000,0.1117,0.8048,0.1410,0.5071,0.0061,0.0102,0.0000,0.0000,0.3194,0.0013,0.0041,0.0000,0.0022,0.0319,0.6432,0.0021,0.6371,0.0016,0.0051,0.0212,0.0006,0.0000,0.0445,0.0000,0.1417,0.0141,0.0000,0.0065,0.0114,0.0149,0.0000,0.0141,0.2077,0.0000,0.5122,0.0485,0.0000,0.0098,0.0014,0.0000,0.0000,0.0000,0.0000,0.0205,0.0032,0.8129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.078,0.0000,0.3107,0.0000,0.0045,0.0000,0.1106,0.8050,0.1395,0.5069,0.0059,0.0116,0.0000,0.0000,0.3219,0.0013,0.0041,0.0000,0.0021,0.0319,0.6426,0.0020,0.6364,0.0016,0.0050,0.0212,0.0006,0.0000,0.0440,0.0000,0.1406,0.0045,0.0000,0.0065,0.0107,0.0149,0.0000,0.0045,0.2052,0.0000,0.5120,0.0482,0.0000,0.0093,0.0014,0.0000,0.0000,0.0000,0.0000,0.0205,0.0031,0.8131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.123,0.0000,0.3127,0.0000,0.0004,0.0000,0.1092,0.8051,0.1362,0.5069,0.0057,0.0121,0.0000,0.0000,0.3236,0.0013,0.0041,0.0000,0.0021,0.0320,0.6412,0.0020,0.6351,0.0016,0.0048,0.0211,0.0006,0.0000,0.0438,0.0000,0.1390,0.0004,0.0000,0.0065,0.0100,0.0147,0.0000,0.0004,0.2027,0.0000,0.5120,0.0480,0.0000,0.0088,0.0014,0.0000,0.0000,0.0000,0.0000,0.0204,0.0031,0.8131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.167,0.0000,0.3127,0.0000,0.0000,0.0000,0.1092,0.8051,0.1362,0.5069,0.0057,0.0121,0.0000,0.0000,0.3236,0.0013,0.0041,0.0000,0.0021,0.0320,0.6412,0.0020,0.6351,0.0016,0.0048,0.0211,0.0006,0.0000,0.0438,0.0000,0.1390,0.0000,0.0000,0.0065,0.0100,0.0147,0.0000,0.0000,0.2027,0.0000,0.5120,0.0480,0.0000,0.0088,0.0014,0.0000,0.0000,0.0000,0.0000,0.0204,0.0031,0.8131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.200,0.0000,0.3186,0.0000,0.0000,0.0000,0.1076,0.8055,0.1345,0.5136,0.0055,0.0123,0.0000,0.0000,0.3285,0.0013,0.0041,0.0000,0.0021,0.0320,0.6411,0.0020,0.6350,0.0016,0.0047,0.0211,0.0006,0.0000,0.0438,0.0000,0.1377,0.0000,0.0000,0.0065,0.0095,0.0145,0.0000,0.0000,0.2004,0.0000,0.5194,0.0480,0.0000,0.0084,0.0014,0.0000,0.0000,0.0000,0.0000,0.0204,0.0030,0.8136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.245,0.0000,0.3264,0.0000,0.0000,0.0000,0.1054,0.8056,0.1282,0.5155,0.0053,0.0126,0.0000,0.0000,0.3351,0.0013,0.0040,0.0000,0.0021,0.0318,0.6402,0.0020,0.6338,0.0016,0.0046,0.0211,0.0006,0.0000,0.0444,0.0000,0.1378,0.0000,0.0000,0.0064,0.0094,0.0143,0.0000,0.0000,0.2004,0.0000,0.5209,0.0487,0.0000,0.0084,0.0013,0.0000,0.0000,0.0000,0.0000,0.0204,0.0030,0.8137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.289,0.0000,0.3287,0.0000,0.0000,0.0000,0.1049,0.8026,0.1230,0.5155,0.0052,0.0142,0.0000,0.0000,0.3370,0.0014,0.0040,0.0000,0.0020,0.0318,0.6342,0.0019,0.6257,0.0016,0.0044,0.0210,0.0006,0.0000,0.0448,0.0000,0.1361,0.0000,0.0000,0.0063,0.0089,0.0142,0.0000,0.0000,0.1961,0.0000,0.5209,0.0492,0.0000,0.0080,0.0013,0.0000,0.0000,0.0000,0.0000,0.0203,0.0029,0.8114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.323,0.0000,0.3287,0.0000,0.0000,0.0000,0.1045,0.8018,0.1168,0.5146,0.0051,0.0171,0.0000,0.0000,0.3370,0.0014,0.0039,0.0000,0.0020,0.0318,0.6256,0.0019,0.6151,0.0015,0.0043,0.0210,0.0006,0.0000,0.0449,0.0000,0.1338,0.0000,0.0000,0.0062,0.0084,0.0141,0.0000,0.0000,0.1936,0.0000,0.5200,0.0493,0.0000,0.0076,0.0013,0.0000,0.0000,0.0000,0.0000,0.0203,0.0029,0.8108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.367,0.0000,0.3305,0.0000,0.0000,0.0000,0.1044,0.7684,0.1119,0.5015,0.0051,0.0220,0.0000,0.0000,0.3380,0.0014,0.0038,0.0000,0.0020,0.0318,0.6076,0.0019,0.5961,0.0015,0.0042,0.0209,0.0006,0.0000,0.0444,0.0000,0.1315,0.0000,0.0000,0.0061,0.0080,0.0139,0.0000,0.0000,0.1903,0.0000,0.5060,0.0488,0.0000,0.0073,0.0013,0.0000,0.0000,0.0000,0.0000,0.0203,0.0028,0.7787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.401,0.0000,0.3334,0.0000,0.0000,0.0000,0.1038,0.7690,0.1084,0.5041,0.0050,0.0224,0.0000,0.0000,0.3396,0.0015,0.0037,0.0000,0.0020,0.0318,0.6039,0.0019,0.5911,0.0015,0.0041,0.0209,0.0006,0.0000,0.0458,0.0000,0.1311,0.0000,0.0000,0.0060,0.0078,0.0138,0.0000,0.0000,0.1898,0.0000,0.5094,0.0502,0.0000,0.0071,0.0013,0.0000,0.0000,0.0000,0.0000,0.0202,0.0028,0.7795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.445,0.0000,0.3338,0.0000,0.0000,0.0000,0.1032,0.7667,0.1044,0.5053,0.0048,0.0227,0.0000,0.0000,0.3397,0.0015,0.0036,0.0000,0.0019,0.0318,0.6022,0.0019,0.5885,0.0015,0.0040,0.0209,0.0006,0.0000,0.0458,0.0000,0.1294,0.0000,0.0000,0.0059,0.0074,0.0136,0.0000,0.0000,0.1888,0.0000,0.5106,0.0502,0.0000,0.0068,0.0013,0.0000,0.0000,0.0000,0.0000,0.0202,0.0027,0.7776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.479,0.0000,0.3360,0.0000,0.0000,0.0000,0.1026,0.7653,0.1011,0.5071,0.0047,0.0235,0.0000,0.0000,0.3412,0.0015,0.0035,0.0000,0.0019,0.0317,0.5973,0.0018,0.5825,0.0015,0.0039,0.0208,0.0006,0.0000,0.0460,0.0000,0.1294,0.0000,0.0000,0.0057,0.0071,0.0134,0.0000,0.0000,0.1882,0.0000,0.5125,0.0504,0.0000,0.0065,0.0013,0.0000,0.0000,0.0000,0.0000,0.0202,0.0027,0.7765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.524,0.0000,0.3362,0.0000,0.0000,0.0000,0.1025,0.7630,0.0988,0.5053,0.0046,0.0251,0.0000,0.0000,0.3415,0.0015,0.0035,0.0000,0.0019,0.0317,0.5953,0.0018,0.5801,0.0015,0.0038,0.0208,0.0006,0.0000,0.0459,0.0000,0.1253,0.0000,0.0000,0.0056,0.0068,0.0132,0.0000,0.0000,0.1768,0.0000,0.5102,0.0504,0.0000,0.0063,0.0013,0.0000,0.0000,0.0000,0.0000,0.0201,0.0026,0.7741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.558,0.0000,0.3362,0.0000,0.0000,0.0000,0.1025,0.7630,0.0988,0.5053,0.0046,0.0251,0.0000,0.0000,0.3415,0.0015,0.0035,0.0000,0.0019,0.0317,0.5953,0.0018,0.5801,0.0015,0.0038,0.0208,0.0006,0.0000,0.0459,0.0000,0.1253,0.0000,0.0000,0.0056,0.0068,0.0132,0.0000,0.0000,0.1768,0.0000,0.5102,0.0504,0.0000,0.0063,0.0013,0.0000,0.0000,0.0000,0.0000,0.0201,0.0026,0.7741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.602,0.0000,0.3364,0.0000,0.0000,0.0000,0.1025,0.7654,0.0967,0.5054,0.0045,0.0271,0.0000,0.0000,0.3420,0.0015,0.0034,0.0000,0.0019,0.0317,0.5854,0.0018,0.5701,0.0015,0.0037,0.0208,0.0006,0.0000,0.0474,0.0000,0.1180,0.0000,0.0000,0.0055,0.0066,0.0131,0.0000,0.0000,0.1635,0.0000,0.5103,0.0522,0.0000,0.0061,0.0013,0.0000,0.0000,0.0000,0.0000,0.0201,0.0026,0.7763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.646,0.0000,0.3396,0.0000,0.0000,0.0000,0.1025,0.7654,0.0954,0.5026,0.0044,0.0279,0.0000,0.0000,0.3456,0.0015,0.0034,0.0000,0.0018,0.0317,0.5774,0.0018,0.5634,0.0015,0.0036,0.0207,0.0006,0.0000,0.0476,0.0000,0.1056,0.0000,0.0000,0.0054,0.0063,0.0131,0.0000,0.0000,0.1491,0.0000,0.5072,0.0526,0.0000,0.0059,0.0013,0.0000,0.0000,0.0000,0.0000,0.0201,0.0026,0.7763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.680,0.0000,0.3396,0.0000,0.0000,0.0000,0.1024,0.7678,0.0942,0.5018,0.0044,0.0281,0.0000,0.0000,0.3456,0.0015,0.0034,0.0000,0.0018,0.0317,0.5737,0.0018,0.5591,0.0014,0.0036,0.0207,0.0006,0.0000,0.0477,0.0000,0.0971,0.0000,0.0000,0.0054,0.0061,0.0130,0.0000,0.0000,0.1392,0.0000,0.5065,0.0527,0.0000,0.0057,0.0013,0.0000,0.0000,0.0000,0.0000,0.0201,0.0025,0.7781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
