timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.034,0.0483,0.4087,0.0689,0.0633,0.0293,0.0819,0.0032,0.0181,0.0123,0.0875,0.0193,0.0316,0.0483,0.3437,0.0004,0.0012,0.0293,0.0261,0.0030,0.2517,0.5908,0.2147,0.2794,0.1455,0.0143,0.0126,0.0501,0.0025,0.0053,0.0018,0.0633,0.1997,0.0014,0.0005,0.0006,0.1997,0.0633,0.0336,0.0053,0.0059,0.0023,0.0516,0.0004,0.0364,0.0316,0.0689,0.0895,0.0895,0.0206,0.1200,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.074,0.0483,0.4113,0.0689,0.0626,0.0303,0.0816,0.0031,0.0180,0.0123,0.0883,0.0191,0.0316,0.0483,0.3464,0.0004,0.0012,0.0303,0.0266,0.0029,0.2516,0.5906,0.2146,0.2791,0.1471,0.0143,0.0126,0.0501,0.0024,0.0050,0.0018,0.0626,0.2023,0.0014,0.0005,0.0006,0.2023,0.0626,0.0343,0.0050,0.0059,0.0023,0.0515,0.0004,0.0364,0.0316,0.0689,0.0890,0.0890,0.0206,0.1211,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.108,0.0481,0.4099,0.0689,0.0625,0.0324,0.0814,0.0031,0.0180,0.0124,0.0883,0.0191,0.0317,0.0481,0.3458,0.0004,0.0012,0.0324,0.0265,0.0029,0.2505,0.5876,0.2134,0.2795,0.1417,0.0143,0.0126,0.0501,0.0024,0.0048,0.0018,0.0625,0.2032,0.0014,0.0005,0.0006,0.2032,0.0625,0.0345,0.0048,0.0059,0.0023,0.0515,0.0004,0.0364,0.0317,0.0689,0.0890,0.0890,0.0206,0.1163,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.142,0.0479,0.4081,0.0689,0.0616,0.0310,0.0812,0.0030,0.0180,0.0123,0.0901,0.0191,0.0317,0.0479,0.3436,0.0004,0.0012,0.0310,0.0262,0.0029,0.2497,0.5873,0.2124,0.2795,0.1409,0.0143,0.0125,0.0501,0.0024,0.0046,0.0018,0.0616,0.2062,0.0014,0.0005,0.0006,0.2062,0.0616,0.0360,0.0046,0.0057,0.0023,0.0515,0.0004,0.0365,0.0317,0.0689,0.0879,0.0879,0.0206,0.1154,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.186,0.0479,0.4076,0.0689,0.0634,0.0315,0.0810,0.0030,0.0180,0.0124,0.0899,0.0191,0.0318,0.0479,0.3432,0.0004,0.0012,0.0315,0.0263,0.0028,0.2494,0.5867,0.2121,0.2802,0.1354,0.0143,0.0124,0.0501,0.0024,0.0044,0.0018,0.0634,0.2072,0.0014,0.0005,0.0006,0.2072,0.0634,0.0361,0.0044,0.0058,0.0022,0.0515,0.0004,0.0365,0.0318,0.0689,0.0905,0.0905,0.0206,0.1102,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.220,0.0479,0.4076,0.0689,0.0634,0.0315,0.0810,0.0030,0.0180,0.0124,0.0899,0.0191,0.0318,0.0479,0.3432,0.0004,0.0012,0.0315,0.0263,0.0028,0.2494,0.5867,0.2121,0.2802,0.1354,0.0143,0.0124,0.0501,0.0024,0.0044,0.0018,0.0634,0.2072,0.0014,0.0005,0.0006,0.2072,0.0634,0.0361,0.0044,0.0058,0.0022,0.0515,0.0004,0.0365,0.0318,0.0689,0.0905,0.0905,0.0206,0.1102,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.264,0.0476,0.3998,0.0696,0.0668,0.0307,0.0808,0.0029,0.0180,0.0124,0.0892,0.0191,0.0318,0.0476,0.3383,0.0004,0.0012,0.0307,0.0244,0.0028,0.2483,0.5805,0.2104,0.2807,0.1349,0.0143,0.0122,0.0501,0.0023,0.0041,0.0017,0.0668,0.2108,0.0013,0.0005,0.0006,0.2108,0.0668,0.0355,0.0041,0.0058,0.0022,0.0514,0.0004,0.0365,0.0318,0.0696,0.0953,0.0953,0.0206,0.1098,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9902
0.298,0.0476,0.3998,0.0696,0.0669,0.0307,0.0808,0.0029,0.0179,0.0124,0.0892,0.0191,0.0318,0.0476,0.3383,0.0004,0.0012,0.0307,0.0244,0.0028,0.2483,0.5805,0.2104,0.2807,0.1349,0.0143,0.0122,0.0501,0.0023,0.0041,0.0017,0.0669,0.2108,0.0013,0.0005,0.0006,0.2108,0.0669,0.0355,0.0041,0.0058,0.0022,0.0514,0.0004,0.0365,0.0318,0.0696,0.0953,0.0953,0.0206,0.1098,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9977
0.343,0.0475,0.3993,0.0695,0.0682,0.0312,0.0801,0.0028,0.0179,0.0124,0.0890,0.0191,0.0316,0.0475,0.3365,0.0004,0.0012,0.0312,0.0294,0.0027,0.2450,0.5806,0.2063,0.2806,0.1317,0.0143,0.0121,0.0501,0.0023,0.0038,0.0017,0.0682,0.2119,0.0013,0.0005,0.0006,0.2119,0.0682,0.0357,0.0038,0.0057,0.0022,0.0513,0.0004,0.0368,0.0316,0.0695,0.0965,0.0965,0.0206,0.1066,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.388,0.0475,0.3993,0.0695,0.0682,0.0312,0.0801,0.0028,0.0179,0.0124,0.0890,0.0191,0.0316,0.0475,0.3365,0.0004,0.0012,0.0312,0.0294,0.0027,0.2450,0.5806,0.2063,0.2806,0.1317,0.0143,0.0121,0.0501,0.0023,0.0038,0.0017,0.0682,0.2119,0.0013,0.0005,0.0006,0.2119,0.0682,0.0357,0.0038,0.0057,0.0022,0.0513,0.0004,0.0368,0.0316,0.0695,0.0965,0.0965,0.0206,0.1066,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.423,0.0473,0.4015,0.0695,0.0680,0.0316,0.0801,0.0027,0.0179,0.0124,0.0895,0.0190,0.0316,0.0473,0.3375,0.0004,0.0012,0.0316,0.0291,0.0027,0.2447,0.5791,0.2059,0.2775,0.1304,0.0143,0.0120,0.0501,0.0023,0.0037,0.0017,0.0680,0.2118,0.0013,0.0005,0.0006,0.2118,0.0680,0.0363,0.0037,0.0057,0.0022,0.0513,0.0004,0.0367,0.0316,0.0695,0.0965,0.0965,0.0206,0.1053,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.466,0.0472,0.4018,0.0700,0.0694,0.0286,0.0801,0.0027,0.0179,0.0123,0.0876,0.0190,0.0315,0.0472,0.3376,0.0004,0.0012,0.0286,0.0245,0.0027,0.2446,0.5789,0.2057,0.2765,0.1355,0.0143,0.0119,0.0501,0.0023,0.0036,0.0017,0.0694,0.2109,0.0013,0.0005,0.0006,0.2109,0.0694,0.0360,0.0036,0.0056,0.0022,0.0513,0.0004,0.0367,0.0315,0.0700,0.0984,0.0984,0.0205,0.1097,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.500,0.0472,0.4063,0.0713,0.0663,0.0250,0.0800,0.0026,0.0178,0.0123,0.0874,0.0190,0.0315,0.0472,0.3413,0.0004,0.0012,0.0250,0.0223,0.0027,0.2443,0.5781,0.2054,0.2697,0.1431,0.0142,0.0119,0.0487,0.0023,0.0034,0.0017,0.0663,0.2120,0.0013,0.0005,0.0006,0.2120,0.0663,0.0338,0.0034,0.0054,0.0021,0.0513,0.0004,0.0367,0.0315,0.0713,0.0906,0.0906,0.0205,0.1160,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.544,0.0472,0.4067,0.0608,0.0804,0.0236,0.0800,0.0026,0.0178,0.0115,0.0865,0.0190,0.0715,0.0472,0.3415,0.0004,0.0012,0.0236,0.0195,0.0026,0.2441,0.5766,0.2053,0.2661,0.1514,0.0142,0.0119,0.0476,0.0022,0.0033,0.0017,0.0804,0.2192,0.0013,0.0005,0.0006,0.2192,0.0804,0.0317,0.0033,0.0052,0.0021,0.0513,0.0004,0.0368,0.0715,0.0608,0.2035,0.2035,0.0205,0.1234,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
