timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.034,0.0000,0.4115,0.0000,0.0000,0.0000,0.1994,0.4561,0.6847,0.6437,0.1544,0.0294,0.0000,0.0000,0.3831,0.0006,0.0339,0.0000,0.0036,0.0794,0.5921,0.0023,0.5705,0.0022,0.0023,0.0172,0.0014,0.0000,0.5106,0.0000,0.0801,0.0000,0.0000,0.0495,0.2419,0.0595,0.0000,0.0000,0.1714,0.0000,0.6564,0.4957,0.0000,0.1613,0.0287,0.0000,0.0000,0.0000,0.0000,0.0187,0.0023,0.5139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.067,0.0000,0.4109,0.0000,0.0000,0.0000,0.1996,0.4514,0.6827,0.6433,0.1543,0.0295,0.0000,0.0000,0.3826,0.0006,0.0342,0.0000,0.0036,0.0794,0.5902,0.0023,0.5685,0.0022,0.0022,0.0172,0.0014,0.0000,0.5098,0.0000,0.0776,0.0000,0.0000,0.0496,0.2227,0.0591,0.0000,0.0000,0.1689,0.0000,0.6558,0.4952,0.0000,0.1457,0.0283,0.0000,0.0000,0.0000,0.0000,0.0187,0.0022,0.5084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.102,0.0000,0.4109,0.0000,0.0000,0.0000,0.1996,0.4514,0.6827,0.6433,0.1543,0.0295,0.0000,0.0000,0.3826,0.0006,0.0342,0.0000,0.0036,0.0794,0.5902,0.0023,0.5685,0.0022,0.0022,0.0172,0.0014,0.0000,0.5098,0.0000,0.0776,0.0000,0.0000,0.0496,0.2227,0.0591,0.0000,0.0000,0.1689,0.0000,0.6558,0.4952,0.0000,0.1457,0.0283,0.0000,0.0000,0.0000,0.0000,0.0187,0.0022,0.5084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.146,0.0000,0.4156,0.0000,0.0000,0.0000,0.1993,0.4707,0.6689,0.6433,0.1474,0.0303,0.0000,0.0000,0.3875,0.0006,0.0344,0.0000,0.0036,0.0796,0.5902,0.0022,0.5685,0.0022,0.0022,0.0172,0.0013,0.0000,0.4914,0.0000,0.0769,0.0000,0.0000,0.0496,0.2570,0.0586,0.0000,0.0000,0.1630,0.0000,0.6557,0.4790,0.0000,0.1786,0.0289,0.0000,0.0000,0.0000,0.0000,0.0187,0.0022,0.5256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.189,0.0000,0.4120,0.0000,0.0000,0.0000,0.1993,0.4672,0.6653,0.6326,0.1382,0.0304,0.0000,0.0000,0.3842,0.0006,0.0344,0.0000,0.0035,0.0796,0.5895,0.0022,0.5677,0.0021,0.0021,0.0172,0.0013,0.0000,0.4875,0.0000,0.0706,0.0000,0.0000,0.0495,0.2339,0.0576,0.0000,0.0000,0.1569,0.0000,0.6438,0.4754,0.0000,0.1589,0.0287,0.0000,0.0000,0.0000,0.0000,0.0187,0.0021,0.5217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.223,0.0000,0.4120,0.0000,0.0000,0.0000,0.1993,0.4672,0.6653,0.6326,0.1382,0.0304,0.0000,0.0000,0.3842,0.0006,0.0344,0.0000,0.0035,0.0796,0.5895,0.0022,0.5677,0.0021,0.0021,0.0172,0.0013,0.0000,0.4875,0.0000,0.0706,0.0000,0.0000,0.0495,0.2339,0.0576,0.0000,0.0000,0.1569,0.0000,0.6438,0.4754,0.0000,0.1589,0.0287,0.0000,0.0000,0.0000,0.0000,0.0187,0.0021,0.5217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.256,0.0000,0.4109,0.0000,0.0000,0.0000,0.1993,0.4636,0.6627,0.6308,0.1367,0.0305,0.0000,0.0000,0.3837,0.0006,0.0344,0.0000,0.0034,0.0796,0.5883,0.0021,0.5665,0.0021,0.0021,0.0172,0.0013,0.0000,0.4841,0.0000,0.0676,0.0000,0.0000,0.0493,0.2106,0.0558,0.0000,0.0000,0.1465,0.0000,0.6406,0.4732,0.0000,0.1447,0.0283,0.0000,0.0000,0.0000,0.0000,0.0187,0.0021,0.5149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.290,0.0000,0.4060,0.0000,0.0000,0.0000,0.1991,0.4613,0.6540,0.6286,0.1332,0.0307,0.0000,0.0000,0.3801,0.0006,0.0344,0.0000,0.0034,0.0796,0.5833,0.0021,0.5630,0.0021,0.0021,0.0171,0.0013,0.0000,0.4769,0.0000,0.0666,0.0000,0.0000,0.0490,0.2066,0.0549,0.0000,0.0000,0.1422,0.0000,0.6374,0.4676,0.0000,0.1402,0.0282,0.0000,0.0000,0.0000,0.0000,0.0187,0.0021,0.5118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.324,0.0000,0.4060,0.0000,0.0000,0.0000,0.1991,0.4568,0.6496,0.6228,0.1322,0.0311,0.0000,0.0000,0.3802,0.0006,0.0343,0.0000,0.0034,0.0796,0.5796,0.0021,0.5598,0.0020,0.0021,0.0171,0.0013,0.0000,0.4741,0.0000,0.0621,0.0000,0.0000,0.0489,0.2066,0.0538,0.0000,0.0000,0.1368,0.0000,0.6313,0.4647,0.0000,0.1387,0.0281,0.0000,0.0000,0.0000,0.0000,0.0187,0.0021,0.5085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.370,0.0000,0.4051,0.0000,0.0000,0.0000,0.1991,0.4562,0.6479,0.6110,0.1271,0.0311,0.0000,0.0000,0.3797,0.0006,0.0343,0.0000,0.0033,0.0795,0.5789,0.0021,0.5593,0.0020,0.0020,0.0171,0.0013,0.0000,0.4671,0.0000,0.0579,0.0000,0.0000,0.0488,0.1983,0.0528,0.0000,0.0000,0.1255,0.0000,0.6173,0.4587,0.0000,0.1309,0.0279,0.0000,0.0000,0.0000,0.0000,0.0187,0.0020,0.5073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
